panel,dataset,method,status,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n_samples,d_native,planned_role,evidence_limit
real_top30,steel_plates_fault,Gravity,ok,0.0,0.3467284904688305,0.0,0.3467284904688305,7,1.0,6.0,23.627142,,1941,27,complete_real_dataset_relation,not_high_dimensional
real_top30,steel_plates_fault,Torque Clustering,ok,0.363697280111416,0.3590932509015971,0.1717264500152944,0.6161772282328697,7,17.0,10.0,32.734863,1166.262,1941,27,complete_real_dataset_relation,not_high_dimensional
real_top30,steel_plates_fault,LDCC,ok,0.0,0.3467284904688305,0.0,0.3467284904688305,7,1.0,6.0,11.34793,185.676,1941,27,complete_real_dataset_relation,not_high_dimensional
real_top30,steel_plates_fault,Gauging-delta,ok,0.1725763771315612,0.4214322514167954,0.0485034732836937,0.443070582174137,7,6.0,1.0,1160.045801,4710.195,1941,27,complete_real_dataset_relation,not_high_dimensional
real_top30,steel_plates_fault,DPC-MFP,ok,0.3148596171834113,0.237506439979392,0.0987649178200332,0.6295723853683668,7,51.0,44.0,32.792124,1157.199,1941,27,complete_real_dataset_relation,not_high_dimensional
real_top30,stock,SNI-DPC,ok,0.3219527268782033,0.3273684210526316,0.1499549810604099,0.8547368421052631,2,11.0,9.0,6.103034,155.691,950,9,complete_real_dataset_relation,not_large_sample
real_top30,stock,Gravity,ok,0.1827821921798331,0.4473684210526316,0.0953801770571844,0.7094736842105264,2,7.0,5.0,3.52606,,950,9,complete_real_dataset_relation,not_large_sample
real_top30,stock,Torque Clustering,ok,0.2929375918711733,0.351578947368421,0.1677753353919197,0.84,2,8.0,6.0,32.472009,1121.105,950,9,complete_real_dataset_relation,not_large_sample
real_top30,stock,LDCC,ok,0.3375101551205943,0.3294736842105263,0.1707689909298092,0.8547368421052631,2,9.0,7.0,4.001171,156.207,950,9,complete_real_dataset_relation,not_large_sample
real_top30,stock,Gauging-delta,ok,0.1295580588586531,0.5157894736842106,0.1031990480919494,0.6989473684210527,2,5.0,3.0,50.090621,1224.855,950,9,complete_real_dataset_relation,not_large_sample
real_top30,stock,DPC-MFP,ok,0.2888025772565561,0.2136842105263157,0.1052873532173822,0.8947368421052632,2,19.0,17.0,32.238533,1129.535,950,9,complete_real_dataset_relation,not_large_sample
