dataset,method,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n,status,panel
longsquare,Gravity,0.9334951177339788,0.9088888888888887,0.9068317992842844,0.9944444444444444,6,8,2,5.046752,218.109,900,ok,formal21
longsquare,Torque Clustering,0.9833856616288648,0.9944444444444444,0.9866071957564704,0.9944444444444444,6,6,0,29.527865,1126.812,900,ok,formal21
longsquare,LDCC,0.974746239227696,0.9755555555555556,0.9709874235561418,0.9977777777777778,6,7,1,3.0791,150.496,900,ok,formal21
longsquare,Gauging-delta,0.971531488526145,0.9811111111111112,0.9774956496456606,0.9977777777777778,6,15,9,46.1162,1048.77,900,ok,formal21
longsquare,DPC-MFP,0.9512414889561168,0.9177777777777778,0.9350066859931432,0.9977777777777778,6,8,2,29.540276,1137.051,900,ok,formal21
sizes4,SNI-DPC,0.9317732281031422,0.988,0.9632410112741308,0.988,4,4,0,5.891233,159.426,1000,ok,formal21
sizes4,Gravity,0.0,0.727,0.0,0.727,4,1,3,6.180424,232.188,1000,ok,formal21
sizes4,Torque Clustering,0.6632407133483784,0.679,0.3984607280927086,0.987,4,6,2,28.937611,1126.059,1000,ok,formal21
sizes4,LDCC,0.4934307721575663,0.817,0.3926180665969941,0.817,4,2,2,3.3054,158.301,1000,ok,formal21
sizes4,Gauging-delta,0.7195780099919348,0.888,0.7069662012431406,0.916,4,24,20,82.4913,1290.008,1000,ok,formal21
sizes4,DPC-MFP,0.4597267014699776,0.36,0.1064482422974178,0.987,4,19,15,29.492423,1136.355,1000,ok,formal21
smile1,SNI-DPC,1.0,1.0,1.0,1.0,4,4,0,5.543585,156.496,1000,ok,formal21
smile1,Gravity,1.0,1.0,1.0,1.0,4,4,0,5.615461,237.789,1000,ok,formal21
smile1,Torque Clustering,1.0,1.0,1.0,1.0,4,4,0,30.248193,1134.129,1000,ok,formal21
smile1,LDCC,0.6745099061806761,0.75,0.6077046894110895,0.75,4,3,1,3.5137,158.383,1000,ok,formal21
smile1,Gauging-delta,0.3494803014024569,0.016,0.0043233788118261,1.0,4,787,783,30.6397,1261.5,1000,ok,formal21
